Frame,Current_Loudness,Baseline_Loudness,Delta_Loudness,Baseline_Loudness_Deviation,Loudness_Category
363,-6.0107126,-6.010647296905518,-6.532669e-05,0.001,No Significant Change
364,-6.0106316,-6.010650634765625,1.9073486e-05,0.001,No Significant Change
365,-6.0106416,-6.010649681091309,8.106232e-06,0.001,No Significant Change
366,-6.0107255,-6.01064920425415,-7.6293945e-05,0.001,No Significant Change
367,-6.01054,-6.010653018951416,0.00011301041,0.001,No Significant Change
368,-6.010794,-6.010647296905518,-0.00014686584,0.001,No Significant Change
369,-6.01047,-6.010654449462891,0.00018453598,0.001,No Significant Change
370,-6.010893,-6.010644912719727,-0.00024795532,0.001,No Significant Change
371,-6.010375,-6.01065731048584,0.0002822876,0.001,No Significant Change
372,-6.0109673,-6.010643005371094,-0.00032424927,0.001,No Significant Change
373,-6.01031,-6.010659217834473,0.0003490448,0.001,No Significant Change
374,-6.0110645,-6.010642051696777,-0.00042247772,0.001,No Significant Change
375,-6.010222,-6.010663032531738,0.00044107437,0.001,No Significant Change
376,-6.011152,-6.010640621185303,-0.00051116943,0.001,No Significant Change
377,-6.010167,-6.010666370391846,0.0004992485,0.001,No Significant Change
378,-6.011248,-6.010641574859619,-0.00060653687,0.001,No Significant Change
379,-6.0100718,-6.010672092437744,0.000600338,0.001,No Significant Change
380,-6.0113163,-6.010642051696777,-0.00067424774,0.001,No Significant Change
381,-6.0100055,-6.010675430297852,0.0006699562,0.001,No Significant Change
382,-6.011404,-6.010642051696777,-0.0007619858,0.001,No Significant Change
383,-6.009912,-6.010679721832275,0.0007677078,0.001,No Significant Change
384,-6.011472,-6.010641574859619,-0.00083065033,0.001,No Significant Change
385,-6.0098486,-6.010683536529541,0.00083494186,0.001,No Significant Change
386,-6.0115557,-6.010641574859619,-0.00091409683,0.001,No Significant Change
387,-6.0097547,-6.010687351226807,0.0009326935,0.001,No Significant Change
388,-6.011619,-6.010640621185303,-0.0009784698,0.001,No Significant Change
389,-6.0096974,-6.010689735412598,0.0009922981,0.001,No Significant Change
390,-6.0117054,-6.0106401443481445,-0.0010652542,0.001,No Significant Change
391,-6.0096145,-6.010693550109863,0.0010790825,0.001003262703306973,No Significant Change
392,-6.0117717,-6.010639667510986,-0.0011320114,0.0010070536518469453,No Significant Change
393,-6.0095644,-6.0106964111328125,0.0011320114,0.001013301545754075,No Significant Change
394,-6.011851,-6.0106401443481445,-0.0012106895,0.0010192370973527431,No Significant Change
395,-6.009479,-6.010700702667236,0.0012216568,0.0010288096964359283,No Significant Change
396,-6.01191,-6.010639667510986,-0.0012702942,0.0010384521447122097,No Significant Change
397,-6.00943,-6.010703086853027,0.0012731552,0.0010500442003831267,No Significant Change
398,-6.0340304,-6.010639190673828,-0.023391247,0.0010611996985971928,Very Low
